Concept	Tag	Languages	Families
FIG		175	27
NUT		189	42
WINE		197	44
TAILOR		183	37
SILK		177	28
LEATHER		324	71
SPINDLE		218	49
DRESS		220	62
GRASS-SKIRT		178	23
STOCKING		200	47
PIN		183	46
ORNAMENT		208	45
HEADBAND OR HEADDRESS		202	50
RAG		215	53
OINTMENT		194	47
TENT		191	47
YARD		222	52
COOKHOUSE		182	43
LATCH		179	34
TORCH OR LAMP		248	63
TROUGH		206	48
RIDGEPOLE		195	44
FARMER		204	41
FURROW		242	31
SPADE		264	52
SHOVEL		268	64
THRESH		201	44
HARVEST		174	40
HAY		292	50
BRANCH OR TWIG		263	65
GRAPEVINE		187	40
FORKED BRANCH		203	54
CITRUS FRUIT		171	41
NETTLE		183	43
BEND		343	64
CHAIN		230	46
KNOT		396	68
STAB TO DEATH		241	61
ADZE		232	40
TOOL		212	47
HOLLOW OUT		307	57
FORGE		304	25
ANVIL		192	25
BRONZE OR COPPER		167	29
MOLD		268	42
CLAY		352	72
FAN (ACTION)		215	49
DROP (SOMETHING)		368	67
TWIST (AROUND)		251	61
RISE (MOVE UPWARDS)		326	72
CRAWL OR CREEP		334	61
CARRY UNDER ARM		186	46
CART		220	47
SHIP		196	45
OAR		283	55
RUDDER		214	29
PORT		179	44
KEEP		280	66
PRESERVE		310	64
DAMAGE OR INJURE		204	49
COIN		215	51
BEGGAR		215	50
DEBT		215	50
BILL		178	36
TAX		203	32
WAGES		254	47
TRADE OR BARTER		228	55
MERCHANT		208	48
DOWN OR BELOW		205	56
REMAINS		231	60
JOIN		322	66
END (OF SPACE)		322	68
EDGE		331	73
CENTER OR MIDDLE		227	57
MEASURE		305	71
FATHOM		160	37
SQUARE		217	41
CIRCLE		277	63
LINE		352	61
SIMILAR		288	65
NOTHING OR ZERO		181	45
CROWD		227	52
ONLY		348	78
TWICE		230	59
THREE TIMES		224	59
LAST (ENDURE)		211	51
END (OF TIME)		279	68
READY		222	55
ALWAYS		392	72
SOMETIMES		275	64
SOON		269	65
NEVER		291	62
DAWN		478	69
HOUR		211	48
CLOCK		230	52
SUNDAY		255	59
MONDAY		247	54
TUESDAY		244	53
WEDNESDAY		244	53
THURSDAY		245	54
FRIDAY		245	54
SATURDAY		247	55
WINTER		331	71
SPRINGTIME		259	57
SUMMER		328	70
AUTUMN		346	54
SEASON		191	40
SILENCE		265	64
COLOR		201	41
FEEL		230	57
WRINKLED		306	57
SURPRISED	emotion	221	55
GOOD LUCK		204	44
BAD LUCK		242	49
ANXIETY	emotion	232	55
PITY	emotion	226	53
ANGER	emotion	260	66
DANGER		214	53
HOPE	emotion	180	40
FAITHFUL		183	40
DECEIT		228	55
MISTAKE		294	61
BLAME		213	49
PRAISE		219	52
GREEDY		206	52
MIND		303	62
THINK (BELIEVE)		225	53
IMITATE		307	58
SEEM		256	59
IDEA		195	47
WISE		248	54
PUPIL (STUDENT)		230	49
TEACHER		322	66
OBSCURE		180	40
SECRET		211	49
CERTAIN		237	50
EXPLAIN		320	52
INTENTION		191	45
CAUSE		205	46
DOUBT	emotion	203	43
NEED (NOUN)		219	56
MANNER		190	40
OR		253	59
YES		409	69
HOW MANY PIECES		241	61
HOW MUCH		242	61
MUMBLE		174	40
SHRIEK		204	49
BE SILENT		242	61
ANNOUNCE		217	54
BRASS INSTRUMENT (HORN OR TRUMPET)		208	45
NATIVE COUNTRY		193	44
RULE		245	53
KING		451	53
MASTER		296	53
SERVANT		257	51
ALLOW OR PERMIT		187	45
ENEMY		371	67
NEIGHBOUR		249	56
HINDER OR PREVENT		190	45
CUSTOM		232	49
PROSTITUTE		193	44
BATTLE		226	52
PEACE		230	48
ARMY		203	43
WEAPONS		208	50
SLING		182	48
SWORD		373	40
CANNON OR GUN		195	47
HELMET		182	30
VICTORY		207	44
DEFEAT		193	42
ATTACK		195	49
DEFEND		258	59
PRISONER		195	50
GUARD		206	53
AMBUSH		176	37
FISHERMAN		213	60
LAW		218	42
JUDGMENT		181	34
WITNESS		214	43
INNOCENT		181	40
PUNISHMENT		207	43
PRISON		249	50
MURDER		224	57
ADULTERY		180	40
RAPE		176	38
WORSHIP		224	48
PRAY		246	59
PRIEST		230	53
PREACH		181	43
BLESS		205	40
CURSE		242	51
ABSTAIN FROM FOOD		228	48
HEAVEN		218	57
HELL		191	47
DEMON		322	60
MAGIC		320	52
MAGICIAN		234	62
BAIT		252	47
DIRT		202	18
CHAMELEON		81	15
FARM		92	4
DRY SEASON		57	2
RAINY SEASON		144	2
BEAT		132	4
POWER		172	17
SORE		217	3
HANDLE		141	17
SLEEP (STATE)		141	16
CAP		53	16
SET (HEAVENLY BODIES)		143	18
WATCH		53	16
DONATE		143	16
FISHING		145	17
WHITE MAN		89	1
YOUR (PLURAL)		177	2
CALABASH		98	1
THEE (OBLIQUE CASE OF YOU)		2	1
YOU (OBLIQUE CASE OF YOU)		2	1
CASSOWARY		92	1
FLYING FOX		91	1
WALLABY		90	1
